show_id,type,Title,Year,title,director,cast,country,Age,IMDb,Netflix,Hulu,Prime Video,Disney+,duration,Gernes,Rotten Tomatoes,date_added,release_year,rating,,,,num_voted_users
s3966,TV Show,100 Years of Horror,1996,Santa Clarita Diet,,"Drew Barrymore, Timothy Olyphant, Liv Hewson, Skyler Gisondo",United States,,7.2/10,0,0,1,0,3 Seasons,"TV Comedies, TV Horror, TV Thrillers",45/100,1-Sep-19,2014,TV-MA,,,,995415
s1303,TV Show,100% Hotter,2016,MeatEater,,Steven Rinella,United States,,4.4/10,1,0,0,0,4 Seasons,"Docuseries, Reality TV, Science & Nature TV",46/100,20-Mar-19,2018,TV-14,,,,370704
s5261,Movie,101 Dalmatian Street,2019,Much Loved,Nabil Ayouch,"Loubna Abidar, Asmaa Lazrak, Halima Karaouane, Sara El Mhamdi Elaaloui, Abdellah Didane, Danny Boushebel, Carlo Brandt, Camélia Montassere","France, Morocco",7+,6.3/10,0,0,0,1,104 min,"Dramas, Independent Movies, International Movies",44/100,20-Mar-19,2018,TV-MA,,,,268154
s5347,Movie,101 Dalmatians,1997,The Invisible Guardian,Fernando González Molina,"Marta Etura, Elvira Mínguez, Francesc Orella, Itziar Aizpuru, Nene, Miquel Fernández, Pedro Casablanc, Colin McFarlane, Benn Northover","Spain, Germany",,,0,0,0,1,129 min,"International Movies, Thrillers",21/100,10-Oct-18,2018,TV-14,,,,354228
s5207,TV Show,101 Dalmatians: The Series,1997,W1A,,"Hugh Bonneville, Monica Dolan, Jessica Hynes, Rufus Jones, Sarah Parish, Nina Sosanya, Jason Watkins, Hugh Skinner, David Westhead, Jonathan Bailey, Ophelia Lovibond, David Tennant",United Kingdom,all,6.2/10,0,0,0,1,3 Seasons,"British TV Shows, TV Comedies",49/100,10-Oct-18,2018,TV-14,,,,451803
s2002,Movie,11.22.63,2016,Raising Victor Vargas,Peter Sollett,"Victor Rasuk, Judy Marte, Melonie Diaz, Altagracia Guzman, Silvestre Rasuk, Krystal Rodriguez, Kevin Rivera, Wilfree Vasquez, Donna Maldonado","France, United States",18+,8.2/10,0,1,0,0,88 min,"Dramas, Independent Movies, Romantic Movies",83/100,29-Mar-19,2019,TV-PG,,,,211765
s2021,Movie,12 Monkeys,2015,Dhh,Manish Saini,"Naseeruddin Shah, Kahaan, Kuldeep Sodha",India,16+,7.7/10,0,1,0,0,127 min,"Children & Family Movies, Dramas, International Movies",80/100,29-Mar-19,2019,TV-Y,,,,483540
s125,TV Show,13 Reasons Why,2017,Pororo - The Little Penguin,,,South Korea,18+,7.6/10,1,0,0,0,3 Seasons,"Kids' TV, Korean TV Shows",79/100,8-Sep-20,2020,TV-14,,,,149019
s1503,Movie,13 Reasons Why: Beyond the Reasons,2017,London Hughes: To Catch a D*ck,Kristian Mercado,London Hughes,United States,18+,6.4/10,1,0,0,0,68 min,Stand-Up Comedy,42/100,1-Jul-20,2019,TV-14,,,,316018
s4521,TV Show,14 Year Old President of the Smallest Country in the World,2017,Ordinary Heroes,,"Giorgio Tirabassi, Marco Bocci, Cristiana Capotondi, Greta Scarano, Michela Cescon, Diane Fleri, Carlo Calderone, Claudio Gioè, Romina Mondello, Orlando Cinque, Luigi Maria Burruano, Riccardo Scamarcio, Lorenza Indovina, Ivana Lotito, Pierfrancesco Poggi, Marco Leonardi, Anna Ferruzzo, Peppino Mazzotta, Giorgio Marchesi",,,,0,0,1,0,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",19/100,17-Apr-20,2020,TV-PG,,,,793059
s4041,Movie,18 to Life,2010,That Thing Called Tadhana,Antoinette Jadaone,"Angelica Panganiban, JM de Guzman",Philippines,,6.1/10,0,0,1,0,91 min,"Dramas, International Movies, Romantic Movies",42/100,5-Feb-20,2020,PG-13,,,,272670
s4580,Movie,1Life,2016,Kismat Konnection,Aziz Mirza,"Shahid Kapoor, Vidya Balan, Juhi Chawla, Om Puri, Vishal Malhotra, Karanvir Bohra, Amit Varma",India,,,0,0,1,0,145 min,"Comedies, Dramas, International Movies",16/100,21-May-20,2018,PG-13,,,,202382
s4011,Movie,1st & Ten,1984,Jeff Dunham's Very Special Christmas Special,Michael Simon,"Jeff Dunham, Brian Haner",United States,,6.5/10,0,0,1,0,85 min,Stand-Up Comedy,43/100,28-Jun-20,2020,PG-13,,,,418214
s1068,TV Show,20 Minutes,2013,The Underclass,Pass Patthanakumjon,"Nannaphas Loetnamchoetsakun, Praewa Suthamphong, Sumitra Duangkaew, Tanutchai Wijitvongtong, Tarisa Preechatangkit, Natticha Chantaravareelekha, Miori Ohkubo, Pakwan Noijaiboon, Napaphat Worraphuttanon, Vathusiri Phuwapunyasiri, Rinrada Inthaisong, Suchaya Saenkhot, Mananya Kaoju, Kandis Wanarun, Ekapol Deebunmee, Panta Pattanaampaiwong, Rachaya Tupkunanon, Supasawad Buranawech, Thitirat Rojsangrat, Sawanee Utoomma, Phattharanarin Mueanarit, Chanyapuk Numprasop",Thailand,,6.9/10,1,0,0,0,1 Season,"International TV Shows, TV Dramas, Teen TV Shows",51/100,8-Sep-17,2017,TV-14,,,,522030
s2508,TV Show,20/20,1978,Patton Oswalt: I Love Everything,Marcus Raboy,"Patton Oswalt, Bob Rubin",United States,,6.6/10,0,1,0,0,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies",59/100,10-Apr-19,2018,TV-MA,,,,411164
s3122,TV Show,205 Live,2016,Don't F**k with Cats: Hunting an Internet Killer,Mark Lewis,,"United Kingdom, United States",7+,7.1/10,0,1,0,0,1 Season,"Crime TV Shows, Docuseries",39/100,1-Dec-16,2016,TV-MA,,,,557489
s1773,Movie,21 Again,2019,The 12th Man,Harald Zwart,"Thomas Gullestad, Jonathan Rhys Meyers, Marie Blokhus, Mads Sjøgård Pettersen, Vegar Hoel, Håkon T. Nielsen, Eirik Risholm Velle, Daniel Frikstad, Eric Dirnes, Alexander Zwart",Norway,,4.8/10,1,0,0,0,130 min,"Action & Adventure, Dramas, International Movies",35/100,21-Jun-21,2014,TV-MA,,,,306320
s1372,TV Show,21 Thunder,2017,We Are: The Brooklyn Saints,,,United States,18+,6.2/10,1,0,0,0,1 Season,Docuseries,45/100,21-Jun-21,2016,TV-Y7,,,,383427
s3397,Movie,24 Hours With,2018,ChuChuTV Surprise Eggs Learning Videos (English),,,,,,0,1,0,0,61 min,Children & Family Movies,13/100,30-Jun-16,2015,TV-MA,,,,235025
s2418,TV Show,24: Legacy,2017,13 Reasons Why,,"Dylan Minnette, Katherine Langford, Kate Walsh, Derek Luke, Brian d'Arcy James, Alisha Boe, Christian Navarro, Miles Heizer, Ross Butler, Devin Druid, Michele Selene Ang, Steven Silver, Amy Hargreaves",United States,16+,6.2/10,0,1,0,0,4 Seasons,"Crime TV Shows, TV Dramas, TV Mysteries",62/100,12-Aug-20,2020,TV-MA,,,,323207
s1752,Movie,28 Faces of the Moon,2016,Elf Pets: A Fox Cub’s Christmas Tale,Chanda Bell,"Leslie Bellair, Brad Hyland, Brody Rose, Carol Aebersold",United States,7+,5.5/10,1,0,0,0,28 min,Children & Family Movies,36/100,1-Jul-17,2014,TV-Y7,,,,242420
s4782,Movie,3 Rabbits,2017,Luciano Mellera: Infantiloide,"Raúl Campos, Jan Suter",Luciano Mellera,Argentina,,,0,0,1,0,66 min,Stand-Up Comedy,13/100,7-Jul-17,2017,PG-13,,,,175409
s2234,Movie,30 for 30,2009,MILF,Axelle Laffont,"Virginie Ledoyen, Marie-Josée Croze, Axelle Laffont, Matthias Dandois, Victor Meutelet, Waël Sersoub, Florence Thomassin","France, Belgium",7+,8.8/10,0,1,0,0,102 min,"Comedies, International Movies, Romantic Movies",69/100,18-Oct-19,2017,TV-Y7,,,,321227
s1988,Movie,30 Rock,2006,Residue,Merawi Gerima,"Obinna Nwachukwu, Dennis Lindsey, Taline Stewart, Derron Scott, Jamal Graham, JaCari Dye, Julian Selman, Melody Tally, Ramon Thompson, Hasinatu Camara",United States,16+,8.2/10,0,1,1,0,90 min,"Dramas, Independent Movies",84/100,1-Jul-17,2012,TV-Y7,,,,264183
s4568,Movie,300 Million Years,2015,Haani,Amitoj Mann,"Sarabjit Cheema, Mahreen Kaleka, Harbhajan Mann, Anuj Sachdeva, Rupan Bal, Sonia Mann",India,,,0,0,1,0,137 min,"Dramas, International Movies, Music & Musicals",16/100,1-Jun-19,2008,PG,,,,101178
s3315,Movie,31 Nights of Halloween Fan Fest,2019,100 Things to do Before High School,,"Isabela Moner, Jaheem Toombs, Owen Joyner, Jack De Sena, Brady Reiter, Lisa Arch, Stephanie Escajeda",United States,,,0,1,0,0,44 min,Movies,19/100,7-Dec-20,2018,PG,,,,223393
s318,Movie,3Below: Tales of Arcadia,2018,Pray Away,Kristine Stolakis,,United States,7+,7.7/10,1,0,0,0,102 min,"Documentaries, LGBTQ Movies",69/100,6-Jul-18,2018,PG,,,,544884
s3589,TV Show,4 Blocks,2017,Cannon Busters,,"Yoshitsugu Matsuoka, Hinaki Yano, Shiori Izawa, Junji Majima, Yosuke Akimoto, Nobuyuki Hiyama, Takaya Kuroda, Katsuhisa Houki, Taro Yamaguchi, Junko Minagawa, Tomomi Maruyama","United States, Japan",7+,8.2/10,0,0,1,0,1 Season,"Anime Series, International TV Shows",64/100,13-Mar-20,2020,PG-13,,,,286095
s1464,TV Show,44 Cats,2018,The Cat in the Hat Knows a Lot About That!,Tony Collingwood,"Martin Short, Alexa Torrington, Jacob Ewaniuk, Robert Tinkler, Tracey Hoyt","Canada, United Kingdom, United States",7+,6.1/10,1,0,0,0,1 Season,Kids' TV,43/100,10-Mar-17,2016,PG,,,,278232
s1376,TV Show,45 RPM,2019,BONDING,,"Zoe Levin, Brendan Scannell, Micah Stock, Theo Stockman, Alex Hurt, D'Arcy Carden, Gabrielle Ryan, Charles Gould",United States,16+,7.3/10,1,0,0,0,2 Seasons,"TV Comedies, TV Dramas",45/100,2-Nov-19,2014,R,,,,465019
s3391,Movie,48 Hours with Kygo,2019,Little Singham: Kaal Ki Tabaahi,Prakash Satam,,,,,0,1,0,0,66 min,"Children & Family Movies, Comedies",14/100,20-Mar-18,2016,TV-MA,,,,514125
s4538,Movie,5 Facts,2014,The Black Prince,Kavi Raz,"Satinder Sartaaj, Shabana Azmi, Jason Flemyng, Amanda Root, Rup Magon, Sophie Stevens, Keith Duffy, David Essex, Leanne Joyce, Ranjit Singh Shubh","United Kingdom, India, United States",,,0,0,1,0,121 min,"Dramas, International Movies",18/100,7-Jan-21,2020,R,,,,395573
s3318,Movie,5 Levels,2017,Big Time Movie,Savage Steve Holland,"Kendall Schmidt, James Maslow, Carlos PenaVega, Logan Henderson, Ciara Bravo, Challen Cates, Tanya Chisholm, Stephen Kramer Glickman, Trevor Devall, Christopher Shyer","United States, Canada",,,0,1,0,0,68 min,"Children & Family Movies, Comedies, Music & Musicals",19/100,1-Nov-19,2017,TV-MA,,,,106416
